DATE_CREATED,TURBIDEZ,PH,TEMPERATURA,TDS,CONDUTIVIDADE
2023-11-15 01:56:07,0.5,7.31,27.83,100.58,201.56
2023-11-15 01:56:49,0.5,7.28,27.76,100.05,201.82
2023-11-15 01:57:30,0.5,7.33,27.88,100.54,200.24
2023-11-15 01:58:11,0.5,7.29,26.98,100.54,204.46
2023-11-15 01:58:53,0.5,7.31,27.9,100.58,200.16
2023-11-15 01:59:33,0.5,7.28,28.24,100.78,198.88
2023-11-15 02:00:14,0.5,7.31,27.83,100.91,199.85
2023-11-15 02:00:55,0.5,7.29,27.99,100.12,200.96
2023-11-15 02:01:36,0.5,7.33,27.77,102.23,201.26
2023-11-15 02:02:18,0.5,7.29,27.95,100.08,199.99
2023-11-15 02:02:59,0.5,7.32,27.95,99.44,200.56
